Date,Price,Open,High,Low,Vol.,Change %
14-Aug-22,7669.00,7840.00,7987.00,7592.00,134.07K,-0.05
7-Aug-22,8098.00,7808.00,7808.00,7808.00,0.06K,0.04
31-Jul-22,7784.00,8666.00,8666.00,8010.00,0.16K,-0.03
24-Jul-22,8064.00,7673.00,8212.00,7673.00,4.14K,0.05
17-Jul-22,7673.00,7655.00,8009.00,7540.00,1.41K,-0.01
10-Jul-22,7778.00,8094.00,8094.00,7552.00,1.21K,-0.06
3-Jul-22,8272.00,8400.00,8480.00,8117.00,0.17K,-0.02
26-Jun-22,8400.00,8418.00,8482.00,8252.00,3.12K,0.00
19-Jun-22,8418.00,8643.00,8649.00,8330.00,2.94K,-0.04
12-Jun-22,8769.00,8891.00,8901.00,8620.00,2.51K,-0.03
5-Jun-22,9048.00,9000.00,9088.00,8999.00,0.15K,0.01
29-May-22,8982.00,8771.00,8983.00,8771.00,2.08K,0.04
22-May-22,8639.00,8507.00,8826.00,8446.00,5.75K,0.00
15-May-22,8605.00,8663.00,8730.00,8464.00,3.72K,0.00
8-May-22,8625.00,8745.00,8752.00,8531.00,0.61K,-0.03
1-May-22,8880.00,8750.00,8980.00,8750.00,0.73K,0.01
24-Apr-22,8750.00,8870.00,8900.00,8602.00,64.03K,-0.02
17-Apr-22,8902.00,9039.00,9122.00,8850.00,428.60K,0.01
10-Apr-22,8793.00,8824.00,8824.00,8761.00,0.14K,-0.01
3-Apr-22,8914.00,8960.00,8960.00,8892.00,0.09K,-0.01
27-Mar-22,9009.00,9078.00,9283.00,9078.00,1.65K,-0.01
20-Mar-22,9117.00,8941.00,9130.00,8900.00,0.72K,0.02
13-Mar-22,8935.00,8913.00,8950.00,8838.00,0.43K,-0.04
6-Mar-22,9326.00,9350.00,9446.00,9350.00,0.05K,0.03
27-Feb-22,9045.00,8765.00,9050.00,8665.00,0.40K,0.03
20-Feb-22,8765.00,8597.00,8908.00,8579.00,1.26K,-0.03
13-Feb-22,8994.00,8611.00,8760.00,8611.00,0.38K,-0.04
6-Feb-22,9396.00,9350.00,9400.00,9350.00,0.13K,0.04
23-Jan-22,9036.00,8928.00,9059.00,8800.00,2.17K,0.01
16-Jan-22,8928.00,8800.00,8986.00,8725.00,4.07K,0.01
9-Jan-22,8809.00,8778.00,8830.00,8577.00,0.76K,0.00
2-Jan-22,8783.00,8598.00,9150.00,8598.00,2.84K,0.02
26-Dec-21,8598.00,8608.00,8679.00,8399.00,46.80K,0.00
19-Dec-21,8608.00,8456.00,8649.00,8431.00,308.22K,0.02
12-Dec-21,8449.00,8350.00,8633.00,8335.00,677.62K,0.02
5-Dec-21,8301.00,8600.00,8600.00,7933.00,0.12K,-0.02
28-Nov-21,8495.00,8888.00,8888.00,8127.00,2.20K,-0.05
21-Nov-21,8896.00,8851.00,8964.00,8700.00,0.51K,0.02
14-Nov-21,8732.00,9016.00,9016.00,8593.00,0.69K,-0.01
7-Nov-21,8790.00,8883.00,9047.00,8722.00,0.53K,0.00
31-Oct-21,8780.00,8785.00,8850.00,8550.00,0.55K,0.00
24-Oct-21,8785.00,9225.00,9230.00,8630.00,4.91K,-0.06
17-Oct-21,9305.00,9350.00,9475.00,9040.00,1.44K,-0.01
