Date,Value
1/01/2022,113.3
1/02/2022,113.8
1/03/2022,115
1/04/2022,115.8
1/05/2022,116.4
1/06/2022,117.2
1/07/2022,116.8
1/08/2022,115.6
1/09/2022,116.6
1/01/2021,107.5
1/02/2021,109
1/03/2021,107.5
1/04/2021,109
1/05/2021,108
1/06/2021,106.7
1/07/2021,107.1
1/08/2021,106.5
1/09/2021,108.2
1/10/2021,108.7
1/11/2021,108.7
1/12/2021,108.9
1/01/2020,104.8
1/02/2020,104.9
1/03/2020,104
1/04/2020,104
1/05/2020,101
1/06/2020,102.7
1/07/2020,102.2
1/08/2020,106.4
1/09/2020,105.5
1/10/2020,102.8
1/11/2020,104.4
1/12/2020,106.7
1/01/2019,106.5
1/02/2019,104.5
1/03/2019,104.5
1/04/2019,103.5
1/05/2019,104.6
1/06/2019,103.6
1/07/2019,102.7
1/08/2019,103.2
1/09/2019,103.2
1/10/2019,101.2
1/11/2019,101.9
1/12/2019,105.5
1/01/2018,100.7
1/02/2018,101.5
1/03/2018,102.4
1/04/2018,103.1
1/05/2018,103.6
1/06/2018,105.3
1/07/2018,105.8
1/08/2018,105.9
1/09/2018,105.5
1/10/2018,105.6
1/11/2018,105.8
1/12/2018,106.9
1/01/2017,99.5
1/02/2017,100.9
1/03/2017,101
1/04/2017,100.9
1/05/2017,100.4
1/06/2017,100.9
1/07/2017,100.9
1/08/2017,101.7
1/09/2017,102.2
1/10/2017,100.3
1/11/2017,100.9
1/12/2017,101
1/01/2016,100.7
1/02/2016,100
1/03/2016,101
1/04/2016,100.8
1/05/2016,100.5
1/06/2016,99.7
1/07/2016,98.6
1/08/2016,98.7
1/09/2016,98.9
1/10/2016,99.5
1/11/2016,99.3
1/12/2016,99.5
1/01/2015,103.3
1/02/2015,104.1
1/03/2015,104.3
1/04/2015,104.1
1/05/2015,104.2
1/06/2015,105
1/07/2015,103.5
1/08/2015,102
1/09/2015,100.8
1/10/2015,101.3
1/11/2015,100.9
1/12/2015,101.1
1/01/2014,109
1/02/2014,107.9
1/03/2014,108.5
1/04/2014,107.7
1/05/2014,107.9
1/06/2014,107.4
1/07/2014,108.9
1/08/2014,109.5
1/09/2014,106.6
1/10/2014,105.7
1/11/2014,104.1
1/12/2014,104.1
1/01/2013,103
1/02/2013,103.3
1/03/2013,104
1/04/2013,105.2
1/05/2013,106.5
1/06/2013,106.3
1/07/2013,105.4
1/08/2013,103.4
1/09/2013,110.1
1/10/2013,108.9
1/11/2013,109.5
1/12/2013,109.4
1/04/2012,101.9
1/05/2012,102.1
1/06/2012,102.4
1/07/2012,103
1/08/2012,103
1/09/2012,103.1
1/10/2012,104
1/11/2012,103.9
1/12/2012,104.5
