Continent,Country,Year,Export/import,Plastic Type,Ban,Trade Value
Africa,Egypt,1995,Export,All Scrap Plastics,No,29052
Asia,United Arab Emirates,1995,Export,All Scrap Plastics,No,17925
Asia,Bangladesh,1995,Export,All Scrap Plastics,No,637
Asia,Hong Kong,1995,Export,All Scrap Plastics,No,330439
Asia,South Korea,1995,Export,All Scrap Plastics,No,83207
Asia,Sri Lanka,1995,Export,All Scrap Plastics,No,1298
Asia,Saudi Arabia,1995,Export,All Scrap Plastics,No,276893
Europe,Belgium-Luxembourg,1995,Export,All Scrap Plastics,No,11564
Europe,Switzerland,1995,Export,All Scrap Plastics,No,109827
Europe,Germany,1995,Export,All Scrap Plastics,No,47473
Europe,Spain,1995,Export,All Scrap Plastics,No,46095
Europe,United Kingdom,1995,Export,All Scrap Plastics,No,8907
Europe,Ireland,1995,Export,All Scrap Plastics,No,1773675
Europe,Italy,1995,Export,All Scrap Plastics,No,159807
Europe,Russia,1995,Export,All Scrap Plastics,No,38865
North America,United States,1995,Export,All Scrap Plastics,No,101526
Africa,Democratic Republic of the Congo,1996,Export,All Scrap Plastics,No,4187
Africa,Morocco,1996,Export,All Scrap Plastics,No,12439
Africa,Uganda,1996,Export,All Scrap Plastics,No,599
Africa,South Africa,1996,Export,All Scrap Plastics,No,25598
Asia,United Arab Emirates,1996,Export,All Scrap Plastics,No,47520
Asia,Hong Kong,1996,Export,All Scrap Plastics,No,209651
Asia,South Korea,1996,Export,All Scrap Plastics,No,26893
Asia,Malaysia,1996,Export,All Scrap Plastics,No,122914
Asia,Saudi Arabia,1996,Export,All Scrap Plastics,No,170657
Europe,Germany,1996,Export,All Scrap Plastics,No,1750
Europe,Ireland,1996,Export,All Scrap Plastics,No,742941
Europe,Italy,1996,Export,All Scrap Plastics,No,49585
North America,United States,1996,Export,All Scrap Plastics,No,38161
South America,Brazil,1996,Export,All Scrap Plastics,No,527
Africa,Egypt,1997,Export,All Scrap Plastics,No,6182
Africa,Ethiopia,1997,Export,All Scrap Plastics,No,5496
Africa,Kenya,1997,Export,All Scrap Plastics,No,14763
Africa,South Africa,1997,Export,All Scrap Plastics,No,13999
Asia,United Arab Emirates,1997,Export,All Scrap Plastics,No,62972
Asia,Bangladesh,1997,Export,All Scrap Plastics,No,10034
Asia,Hong Kong,1997,Export,All Scrap Plastics,No,225132
Asia,Jordan,1997,Export,All Scrap Plastics,No,8633
Asia,South Korea,1997,Export,All Scrap Plastics,No,9304
Asia,Malaysia,1997,Export,All Scrap Plastics,No,1681
