customer_id,gender,past_3_years_bike_related_purchases,Age,job_title,job_industry_category,wealth_segment,owns_car,tenure,postcode,state,country,property_valuation,R,M,F
1,F,93,68.02369476,Executive Secretary,Health,Mass Customer,Yes,11,2016,New South Wales,Australia,10,1574.027586,274.3718182,93
2,Male,81,40.82643449,Administrative Officer,Financial Services,Mass Customer,Yes,16,2153,New South Wales,Australia,10,1563.66395,742.0866667,81
4,Male,33,60.04287284,,IT,Mass Customer,No,7,4211,QLD,Australia,9,1606.66395,110.285,33
3,Male,61,67.74972216,Recruiting Manager,Property,Mass Customer,Yes,15,,,,,1576.66395,420.35125,61
5,Female,56,44.42369476,Senior Editor,n/a,Affluent Customer,Yes,8,2448,New South Wales,Australia,4,1566.830617,399.1566667,56
6,Male,35,55.08670846,,Retail,High Net Worth,Yes,13,3216,VIC,Australia,9,1584.66395,789.31,35
7,Female,6,45.64287284,,Financial Services,Affluent Customer,Yes,11,2210,New South Wales,Australia,9,1665.997283,73.37,6
8,Male,31,59.55520161,Media Manager I,n/a,Mass Customer,No,7,2650,New South Wales,Australia,4,1553.76395,706.694,31
9,Female,97,48.60177695,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8,2023,New South Wales,Australia,12,1567.497283,392.185,97
11,Male,99,67.47574955,,Property,Mass Customer,No,9,3044,VIC,Australia,8,1525.997283,606.4733333,99
12,Male,58,27.22369476,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8,4557,QLD,Australia,4,1521.092521,505.7185714,58
10,Female,49,33.00177695,Senior Quality Engineer,Financial Services,Mass Customer,Yes,20,,,,,1491.66395,903.7266667,49
13,Male,38,66.67848928,Developer I,Financial Services,High Net Worth,Yes,8,3799,VIC,Australia,6,1583.378236,619.6257143,38
14,Female,85,38.55520161,Account Executive,Financial Services,Affluent Customer,No,6,2760,New South Wales,Australia,8,1493.66395,699.52,85
15,Male,91,21.24013312,Junior Executive,Manufacturing,Mass Customer,No,1,2428,New South Wales,Australia,9,1562.66395,288.065,91
16,Male,38,44.62917421,Media Manager IV,n/a,Mass Customer,Yes,18,3331,VIC,Australia,4,1561.86395,904.368,38
17,Male,57,59.5853386,Sales Associate,n/a,Affluent Customer,Yes,15,3058,VIC,Australia,9,1505.66395,403.122,57
18,Female,79,54.28396873,Professor,n/a,Affluent Customer,No,11,2135,New South Wales,Australia,12,1575.092521,506.1971429,79
19,Female,76,20.48396873,Geological Engineer,Manufacturing,High Net Worth,No,1,2233,New South Wales,Australia,9,1611.997283,983.93,76
20,Male,72,41.16890024,Project Manager,Manufacturing,Mass Customer,No,11,2444,New South Wales,Australia,8,1456.66395,902.07,72
21,Male,74,41.06479065,Safety Technician I,Manufacturing,Affluent Customer,Yes,16,2650,New South Wales,Australia,7,1488.46395,845.882,74
24,Female,55,43.86479065,Research Assistant I,Argiculture,Mass Customer,Yes,15,2153,New South Wales,Australia,10,1510.16395,610.34875,55
25,Male,72,44.86753038,Accounting Assistant III,Financial Services,Mass Customer,Yes,21,4413,QLD,Australia,3,1552.080617,444.4716667,72
26,Female,12,43.34698243,Editor,Financial Services,Mass Customer,Yes,16,4740,QLD,Australia,5,1588.330617,655.17,12
22,Female,79,58.85657147,,IT,Mass Customer,No,11,,,,,1554.092521,612.4214286,79
27,Male,37,43.05383175,Research Nurse,Health,Mass Customer,Yes,12,3218,VIC,Australia,7,1559.806807,467.75,37
23,Male,43,26.66479065,,n/a,High Net Worth,Yes,1,,,,,1531.378236,916.2742857,43
28,Male,5,48.04287284,Senior Quality Engineer,Health,Affluent Customer,Yes,21,4868,QLD,Australia,4,1596.997283,561.0933333,5
29,Female,62,53.31958517,Safety Technician III,Manufacturing,Mass Customer,No,19,4116,QLD,Australia,7,1562.330617,686.1444444,62
30,Male,18,60.00177695,,IT,Affluent Customer,Yes,6,2519,New South Wales,Australia,11,1533.66395,877.9833333,18
31,Female,3,58.90040709,Staff Accountant III,Telecommunications,High Net Worth,Yes,14,2135,New South Wales,Australia,12,1563.66395,106.5275,3
32,Female,17,26.47574955,Legal Assistant,Manufacturing,Affluent Customer,No,4,2756,New South Wales,Australia,9,1618.66395,403.3028571,17
33,Male,44,64.31958517,Product Engineer,n/a,Affluent Customer,Yes,11,2170,New South Wales,Australia,9,1514.16395,858.4083333,44
35,Female,40,58.05657147,Information Systems Manager,Health,High Net Worth,Yes,16,4127,QLD,Australia,6,1582.16395,926.6275,40
36,Female,33,43.93054407,VP Quality Control,n/a,Affluent Customer,No,22,2535,New South Wales,Australia,8,1588.16395,102.18,33
37,Female,46,35.8072564,Social Worker,Health,High Net Worth,No,16,4726,QLD,Australia,1,1523.330617,704.2766667,46
38,Female,37,65.97711942,Senior Cost Accountant,Financial Services,Affluent Customer,No,20,4805,QLD,Australia,4,1538.66395,506.335,37
39,Male,5,42.49766736,Assistant Media Planner,Entertainment,Mass Customer,No,22,2212,New South Wales,Australia,10,1538.330617,507.0975,5
40,Female,91,39.96342079,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,No,14,2207,New South Wales,Australia,8,1548.997283,758.6833333,91
41,Male,64,45.50314681,Food Chemist,Health,Mass Customer,No,16,3350,VIC,Australia,9,1554.41395,566.46,64
42,Female,24,44.54972216,Accountant III,Manufacturing,Mass Customer,No,18,3931,VIC,Australia,10,1570.66395,106.76,24
43,Female,38,38.62095503,Director of Sales,Retail,Mass Customer,No,5,4018,QLD,Australia,8,1574.330617,402.2166667,38
44,Male,63,39.98807832,Assistant Media Planner,Entertainment,Affluent Customer,Yes,17,4670,QLD,Australia,2,1516.949664,681.1828571,63
45,Male,64,46.06205092,Senior Financial Analyst,Financial Services,Mass Customer,No,8,2480,New South Wales,Australia,3,1490.330617,349.3833333,64
46,Female,98,49.63739339,,n/a,Affluent Customer,Yes,15,3212,VIC,Australia,6,1537.86395,324.726,98
47,Male,51,28.96890024,Registered Nurse,Health,Affluent Customer,No,2,2322,New South Wales,Australia,4,1576.806807,618.8842857,51
48,Female,46,46.16890024,Biostatistician II,n/a,Mass Customer,Yes,8,3198,VIC,Australia,9,1601.28895,695.135,46
49,Male,63,27.70588654,VP Quality Control,n/a,Affluent Customer,No,1,2210,New South Wales,Australia,9,1567.66395,849.736,63
50,Male,38,41.03465366,Account Executive,Manufacturing,Mass Customer,Yes,16,2047,New South Wales,Australia,10,1563.78895,722.9575,38
51,Male,68,61.87300983,Computer Systems Analyst II,Retail,Mass Customer,No,18,4503,QLD,Australia,5,1574.28895,606.925,68
52,Male,57,33.30588654,,Financial Services,Mass Customer,Yes,13,2145,New South Wales,Australia,8,1529.949664,820.67,57
53,Female,22,67.50862627,Software Test Engineer II,Financial Services,Mass Customer,No,16,4350,QLD,Australia,3,1598.06395,590.014,22
54,Femal,2,55.23465366,Sales Associate,Property,Mass Customer,Yes,18,2142,New South Wales,Australia,8,1545.235379,585.4585714,2
55,Male,48,65.0702701,Paralegal,Financial Services,Affluent Customer,Yes,7,2029,New South Wales,Australia,10,1599.03895,402.6075,48
56,Male,44,25.26753038,VP Sales,Property,Mass Customer,Yes,4,2127,New South Wales,Australia,10,1596.806807,182.1771429,44
57,M,87,33.33054407,Chief Design Engineer,n/a,Mass Customer,Yes,13,4280,QLD,Australia,6,1500.330617,852.9933333,87
58,Female,26,54.28944818,Office Assistant III,Financial Services,Affluent Customer,Yes,17,2166,New South Wales,Australia,9,1498.78895,437.67125,26
59,Male,60,21.66753038,Physical Therapy Assistant,n/a,High Net Worth,No,3,2046,New South Wales,Australia,9,1490.330617,876.1233333,60
60,Female,18,51.69766736,,Manufacturing,Mass Customer,No,10,2026,New South Wales,Australia,10,1582.16395,323.61,18
61,Female,47,61.88944818,Help Desk Operator,Property,High Net Worth,No,13,2765,New South Wales,Australia,7,1508.378236,731.7371429,47
62,Female,38,42.27574955,,IT,Mass Customer,Yes,22,2749,New South Wales,Australia,8,1522.497283,820.1466667,38
63,Female,58,56.29218791,Senior Quality Engineer,Retail,Mass Customer,Yes,16,2745,New South Wales,Australia,9,1524.66395,730.0166667,58
64,Male,73,43.55794133,Legal Assistant,IT,High Net Worth,No,4,3752,VIC,Australia,8,1630.26395,109.336,73
65,Male,21,45.53876325,Information Systems Manager,Financial Services,Affluent Customer,Yes,15,2153,New South Wales,Australia,10,1596.830617,740.2683333,21
66,Male,46,19.57985914,Account Executive,Argiculture,High Net Worth,No,1,2217,New South Wales,Australia,10,1618.16395,833.465,46
67,Male,67,61.34698243,Web Developer II,Retail,Mass Customer,No,18,2230,New South Wales,Australia,10,1578.26395,240.658,67
68,Female,37,47.48670846,Information Systems Manager,n/a,Affluent Customer,No,9,3046,VIC,Australia,7,1624.997283,1280.853333,37
69,Female,16,52.31958517,Web Developer II,n/a,Mass Customer,No,6,3183,VIC,Australia,7,1601.497283,882.4583333,16
70,Male,78,28.61821531,Paralegal,Financial Services,Affluent Customer,No,8,2070,New South Wales,Australia,12,1511.46395,547.38,78
71,Male,30,36.70862627,Research Associate,Argiculture,Affluent Customer,Yes,12,2213,New South Wales,Australia,10,1504.66395,155.65,30
72,Male,93,49.67300983,Administrative Officer,Manufacturing,Affluent Customer,Yes,16,4208,QLD,Australia,6,1497.66395,574.27,93
73,Female,16,61.3962975,Teacher,n/a,Affluent Customer,Yes,5,2774,New South Wales,Australia,8,1637.66395,386.085,16
74,Female,94,52.32780435,,n/a,Mass Customer,Yes,6,4133,QLD,Australia,8,1491.997283,322.1733333,94
75,Female,28,43.25109202,VP Product Management,Property,Mass Customer,No,19,2756,New South Wales,Australia,8,1517.91395,622.4925,28
76,Female,20,43.72506462,Statistician II,Retail,High Net Worth,Yes,18,4213,QLD,Australia,9,1498.78895,358.52,20
77,Male,79,32.08122901,Automation Specialist IV,Financial Services,Mass Customer,No,7,4170,QLD,Australia,5,1594.997283,552.5266667,79
78,Male,37,36.58807832,Business Systems Development Analyst,Argiculture,Affluent Customer,No,8,2153,New South Wales,Australia,9,1585.16395,41.13,37
79,Female,76,53.04013312,Account Executive,Manufacturing,Mass Customer,No,18,2073,New South Wales,Australia,10,1571.497283,432.91,76
80,Male,11,43.47574955,Data Coordiator,Entertainment,Mass Customer,No,13,3561,VIC,Australia,1,1604.96395,598.886,11
81,Female,58,35.10588654,,Health,High Net Worth,No,13,2330,New South Wales,Australia,6,1496.16395,812.255,58
82,Female,93,56.30588654,Software Test Engineer III,Property,High Net Worth,No,19,3977,VIC,Australia,8,1568.06395,584.874,93
83,Male,97,54.64013312,Internal Auditor,IT,Mass Customer,Yes,18,2204,New South Wales,Australia,12,1611.330617,299.7,97
